CEEY,category,rate
1977,CEEAR,4.74
1978,CEEAR,6.59
1979,CEEAR,5.98
1980,CEEAR,8.41
1981,CEEAR,10.81
1982,CEEAR,17.11
1983,CEEAR,23.35
1984,CEEAR,29.27
1985,CEEAR,35.23
1986,CEEAR,29.84
1987,CEEAR,27.19
1988,CEEAR,24.63
1989,CEEAR,22.56
1990,CEEAR,21.55
1991,CEEAR,20.95
1992,CEEAR,24.75
1993,CEEAR,34.27
1994,CEEAR,35.86
1995,CEEAR,36.76
1996,CEEAR,40.25
1997,CEEAR,35.97
1998,CEEAR,33.75
1999,CEEAR,55.56
2000,CEEAR,58.83
2001,CEEAR,59.1
2002,CEEAR,62.84
2003,CEEAR,62.35
2004,CEEAR,61.36
2005,CEEAR,57.53
2006,CEEAR,57.48
2007,CEEAR,56.03
2008,CEEAR,57.88
2009,CEEAR,62.7
2010,CEEAR,69.15
2011,CEEAR,73.04
2012,CEEAR,75.28
2013,CEEAR,76.73
2014,CEEAR,76.83
2015,CEEAR,78.32
2016,CEEAR,79.64
2017,CEEAR,81.88
2018,CEEAR,81.13
2019,CEEAR,88.74
2020,CEEAR,90.33
2021,CEEAR,91.0
1977,GER,1.65
1978,GER,2.87
1979,GER,2.95
1980,GER,1.14
1981,GER,0.95
1982,GER,1.18
1983,GER,1.46
1984,GER,1.88
1985,GER,2.44
1986,GER,2.09
1987,GER,2.3
1988,GER,2.47
1989,GER,2.35
1990,GER,2.39
1991,GER,2.53
1992,GER,3.37
1993,GER,4.66
1994,GER,4.87
1995,GER,5.22
1996,GER,5.6
1997,GER,5.83
1998,GER,6.08
1999,GER,7.75
2000,GER,9.91
2001,GER,13.06
2002,GER,15.66
2003,GER,17.4
2004,GER,18.83
2005,GER,20.14
2006,GER,22.33
2007,GER,23.62
2008,GER,25.61
2009,GER,28.44
2010,GER,31.33
2011,GER,32.17
2012,GER,32.84
2013,GER,34.11
2014,GER,35.05
2015,GER,36.39
2016,GER,38.73
2017,GER,41.71
2018,GER,44.82
2019,GER,53.76
2020,GER,54.4
2021,GER,55.0
